                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    144,                0.90732,                0.82999,                 1.2933,                0.75237,                0.71082,                0.73687,                0.59456,                0.85551,                0.59105,                 1.2304,              0.0082428,              0.0082428,              0.0082428
                    145,                0.90162,                0.83129,                 1.2846,                0.75809,                0.70766,                0.73661,                0.59556,                0.85614,                0.59168,                 1.2313,              0.0082304,              0.0082304,              0.0082304
                    146,                0.90626,                0.84081,                 1.2917,                0.76029,                0.71015,                0.73782,                0.59551,                0.85683,                0.59017,                 1.2314,               0.008218,               0.008218,               0.008218
                    147,                0.90252,                0.82162,                 1.2832,                0.76475,                0.70659,                 0.7384,                0.59538,                0.85724,                0.58851,                 1.2313,              0.0082056,              0.0082056,              0.0082056
                    148,                0.89688,                0.83321,                 1.2848,                0.76655,                0.70121,                0.73903,                0.59613,                0.85825,                0.58708,                  1.233,              0.0081932,              0.0081932,              0.0081932
                    149,                0.90479,                0.82273,                 1.2893,                0.77456,                0.70211,                0.73842,                0.59561,                0.85785,                0.58747,                 1.2328,              0.0081809,              0.0081809,              0.0081809
                    150,                0.89821,                0.82719,                 1.2825,                0.76639,                0.70453,                0.73849,                0.59642,                0.85748,                0.58536,                 1.2336,              0.0081685,              0.0081685,              0.0081685
                    151,                0.90378,                0.83237,                 1.2849,                0.76472,                0.70688,                0.73963,                 0.5977,                0.85629,                0.58481,                 1.2331,              0.0081561,              0.0081561,              0.0081561
                    152,                0.88538,                0.81426,                 1.2754,                0.78159,                0.69814,                0.73887,                0.59724,                0.85399,                0.58473,                 1.2315,              0.0081437,              0.0081437,              0.0081437
                    153,                0.89622,                0.81951,                 1.2785,                0.77792,                0.70434,                0.73958,                0.59829,                 0.8519,                0.58228,                   1.23,              0.0081314,              0.0081314,              0.0081314
                    154,                 0.9059,                0.83432,                 1.2976,                0.77701,                0.70339,                0.73957,                0.59967,                0.84991,                0.58002,                 1.2283,               0.008119,               0.008119,               0.008119
                    155,                0.88706,                0.81505,                 1.2737,                0.76969,                0.70696,                0.74009,                0.59925,                 0.8504,                0.57963,                 1.2293,              0.0081066,              0.0081066,              0.0081066
                    156,                0.88412,                0.80781,                 1.2733,                0.77537,                0.70847,                0.73988,                0.59967,                0.85042,                0.57912,                 1.2295,              0.0080942,              0.0080942,              0.0080942
                    157,                0.88265,                0.80482,                 1.2701,                0.75849,                 0.7148,                0.74061,                0.59969,                0.84964,                0.57826,                 1.2287,              0.0080819,              0.0080819,              0.0080819
                    158,                0.89728,                0.81939,                 1.2795,                0.76162,                0.71301,                0.74084,                0.59968,                0.84982,                0.57667,                 1.2283,              0.0080695,              0.0080695,              0.0080695
                    159,                0.88635,                0.80896,                 1.2759,                0.76369,                0.70859,                0.74098,                0.59858,                 0.8501,                0.57475,                 1.2282,              0.0080571,              0.0080571,              0.0080571
                    160,                0.89487,                0.80822,                 1.2788,                0.76622,                0.71033,                0.74126,                0.59947,                0.85032,                0.57441,                 1.2278,              0.0080447,              0.0080447,              0.0080447
                    161,                 0.8785,                0.79669,                 1.2695,                0.75722,                0.71562,                0.74189,                 0.5995,                0.85021,                0.57343,                 1.2269,              0.0080324,              0.0080324,              0.0080324
                    162,                0.88712,                0.79747,                 1.2695,                0.77598,                0.70764,                 0.7421,                0.60102,                0.85023,                0.57232,                 1.2266,                0.00802,                0.00802,                0.00802
                    163,                0.89238,                0.80555,                 1.2769,                0.77913,                 0.7081,                0.74229,                 0.6008,                0.85031,                0.57171,                 1.2272,              0.0080076,              0.0080076,              0.0080076
                    164,                0.87774,                0.79788,                 1.2673,                0.77893,                0.70681,                0.74257,                0.60085,                0.84985,                0.57148,                 1.2266,              0.0079953,              0.0079953,              0.0079953
                    165,                0.88718,                0.80021,                 1.2722,                0.75771,                0.72059,                0.74279,                0.60146,                0.84848,                0.57077,                 1.2256,              0.0079829,              0.0079829,              0.0079829
                    166,                0.89131,                0.81011,                 1.2722,                0.75689,                0.72398,                0.74363,                0.60137,                0.84745,                0.57002,                  1.225,              0.0079705,              0.0079705,              0.0079705
                    167,                0.88417,                0.80014,                 1.2646,                0.75496,                0.72544,                0.74399,                0.60145,                0.84634,                0.56864,                 1.2244,              0.0079581,              0.0079581,              0.0079581
                    168,                0.88521,                0.80545,                 1.2671,                0.75128,                0.72712,                0.74414,                 0.6021,                0.84528,                0.56779,                 1.2236,              0.0079457,              0.0079457,              0.0079457
                    169,                0.87476,                0.78742,                 1.2587,                0.75201,                0.72798,                0.74431,                0.60199,                0.84437,                0.56675,                 1.2226,              0.0079334,              0.0079334,              0.0079334
                    170,                0.88679,                0.79143,                 1.2659,                0.76194,                0.72321,                0.74466,                0.60177,                0.84312,                0.56595,                 1.2212,               0.007921,               0.007921,               0.007921
                    171,                  0.883,                0.79895,                 1.2688,                0.76347,                0.72267,                0.74501,                0.60197,                0.84263,                0.56567,                 1.2204,              0.0079086,              0.0079086,              0.0079086
                    172,                0.88978,                0.79778,                  1.267,                0.76372,                0.72442,                 0.7453,                0.60242,                0.84203,                0.56635,                 1.2197,              0.0078963,              0.0078963,              0.0078963
                    173,                0.87874,                0.79165,                 1.2609,                0.76328,                 0.7224,                0.74523,                0.60237,                0.84214,                0.56639,                 1.2198,              0.0078839,              0.0078839,              0.0078839
                    174,                0.88158,                0.78236,                  1.259,                0.76315,                0.72058,                0.74513,                0.60182,                0.84272,                0.56591,                   1.22,              0.0078715,              0.0078715,              0.0078715
                    175,                0.87453,                 0.7675,                 1.2565,                0.76241,                0.71981,                0.74505,                0.60167,                0.84283,                0.56593,                 1.2197,              0.0078591,              0.0078591,              0.0078591
                    176,                0.87731,                0.77343,                 1.2625,                0.76253,                 0.7173,                0.74486,                0.60207,                0.84296,                0.56544,                 1.2201,              0.0078467,              0.0078467,              0.0078467
                    177,                0.87363,                0.77584,                 1.2549,                0.75864,                0.71878,                0.74467,                0.60216,                0.84354,                0.56549,                  1.221,              0.0078344,              0.0078344,              0.0078344
                    178,                0.87878,                0.77888,                  1.263,                0.75856,                0.71832,                0.74396,                0.60246,                0.84396,                 0.5658,                 1.2212,               0.007822,               0.007822,               0.007822
                    179,                0.86918,                0.77997,                 1.2497,                0.75842,                 0.7186,                0.74414,                0.60225,                0.84438,                0.56555,                 1.2216,              0.0078096,              0.0078096,              0.0078096
                    180,                0.87265,                0.78132,                 1.2552,                0.75508,                0.72166,                0.74387,                0.60106,                0.84518,                0.56525,                 1.2221,              0.0077973,              0.0077973,              0.0077973
                    181,                0.87728,                0.78061,                 1.2564,                0.75464,                0.72328,                0.74352,                0.60135,                0.84569,                0.56538,                 1.2228,              0.0077849,              0.0077849,              0.0077849
                    182,                0.86283,                0.77557,                  1.252,                0.75534,                0.72612,                0.74366,                0.60174,                0.84487,                0.56462,                  1.222,              0.0077725,              0.0077725,              0.0077725
                    183,                0.86642,                 0.7658,                 1.2574,                0.75517,                0.72715,                0.74363,                0.60178,                0.84429,                0.56457,                 1.2212,              0.0077601,              0.0077601,              0.0077601
                    184,                0.87819,                0.77858,                 1.2567,                0.75714,                0.72578,                0.74352,                0.60174,                0.84486,                0.56344,                 1.2214,              0.0077478,              0.0077478,              0.0077478
                    185,                0.86942,                0.77091,                  1.254,                0.75762,                0.72481,                0.74365,                0.60215,                0.84508,                0.56273,                 1.2217,              0.0077354,              0.0077354,              0.0077354
                    186,                0.87347,                0.77542,                 1.2577,                0.75513,                0.72564,                0.74363,                0.60155,                0.84504,                0.56335,                 1.2218,               0.007723,               0.007723,               0.007723
                    187,                 0.8718,                0.77579,                 1.2561,                0.75612,                0.72347,                0.74371,                0.60181,                0.84484,                0.56261,                 1.2216,              0.0077106,              0.0077106,              0.0077106
                    188,                0.86328,                0.76303,                 1.2546,                0.75596,                0.72273,                 0.7438,                0.60209,                0.84441,                0.56256,                 1.2212,              0.0076983,              0.0076983,              0.0076983
                    189,                0.87501,                0.77713,                 1.2593,                0.75693,                0.72309,                0.74368,                0.60157,                0.84441,                0.56232,                 1.2211,              0.0076859,              0.0076859,              0.0076859
                    190,                 0.8668,                0.77179,                 1.2532,                0.75124,                0.72394,                0.74345,                0.60254,                0.84408,                0.56178,                  1.221,              0.0076735,              0.0076735,              0.0076735
                    191,                0.87437,                0.77252,                 1.2541,                0.75965,                 0.7177,                0.74366,                0.60298,                0.84372,                 0.5615,                 1.2206,              0.0076611,              0.0076611,              0.0076611
                    192,                0.85485,                0.75982,                 1.2467,                0.75942,                0.72328,                0.74382,                0.60306,                0.84338,                0.56136,                 1.2205,              0.0076488,              0.0076488,              0.0076488
                    193,                0.86427,                0.76218,                  1.249,                0.76508,                0.71523,                0.74393,                0.60378,                0.84253,                0.56075,                 1.2196,              0.0076364,              0.0076364,              0.0076364
                    194,                0.85813,                0.75517,                 1.2413,                 0.7634,                0.71982,                0.74418,                0.60383,                0.84287,                0.56033,                 1.2197,               0.007624,               0.007624,               0.007624
                    195,                0.86102,                0.76306,                 1.2426,                0.76344,                0.71973,                 0.7443,                0.60359,                0.84237,                0.55972,                 1.2191,              0.0076116,              0.0076116,              0.0076116
                    196,                0.86583,                0.76432,                  1.252,                0.76216,                0.72097,                 0.7445,                0.60394,                0.84216,                0.55924,                 1.2185,              0.0075993,              0.0075993,              0.0075993
                    197,                0.84929,                0.76442,                 1.2431,                0.76321,                0.71863,                0.74446,                 0.6038,                0.84171,                0.55908,                 1.2181,              0.0075869,              0.0075869,              0.0075869
                    198,                0.85523,                0.75876,                 1.2414,                0.75949,                0.71847,                0.74438,                0.60441,                0.84143,                0.55808,                  1.218,              0.0075745,              0.0075745,              0.0075745
                    199,                0.86401,                0.76764,                 1.2489,                0.76196,                0.71828,                0.74464,                0.60447,                0.84138,                0.55712,                 1.2177,              0.0075621,              0.0075621,              0.0075621
                    200,                0.87241,                0.76422,                 1.2492,                 0.7733,                0.71191,                 0.7447,                0.60425,                0.84158,                 0.5567,                 1.2176,              0.0075498,              0.0075498,              0.0075498
                    201,                0.84965,                0.75337,                 1.2337,                0.77576,                0.71171,                0.74492,                0.60453,                0.84165,                0.55642,                 1.2176,              0.0075374,              0.0075374,              0.0075374
                    202,                0.84346,                0.74032,                 1.2342,                0.77531,                0.71228,                 0.7451,                0.60494,                0.84191,                0.55591,                 1.2176,               0.007525,               0.007525,               0.007525
                    203,                0.86389,                0.75898,                 1.2457,                0.77413,                0.71255,                0.74525,                0.60528,                0.84187,                0.55565,                 1.2173,              0.0075126,              0.0075126,              0.0075126
                    204,                0.84955,                0.75202,                 1.2406,                0.77339,                 0.7127,                0.74517,                0.60528,                0.84167,                 0.5556,                 1.2171,              0.0075003,              0.0075003,              0.0075003
                    205,                0.85965,                0.74965,                 1.2431,                0.77336,                0.71277,                0.74519,                 0.6049,                0.84151,                0.55542,                 1.2166,              0.0074879,              0.0074879,              0.0074879
                    206,                0.85799,                0.74849,                  1.239,                0.77557,                0.71295,                0.74516,                  0.605,                0.84127,                 0.5552,                 1.2162,              0.0074755,              0.0074755,              0.0074755
                    207,                  0.853,                0.75129,                 1.2417,                0.77714,                0.71277,                0.74517,                0.60469,                0.84156,                0.55492,                 1.2163,              0.0074631,              0.0074631,              0.0074631
                    208,                0.84562,                 0.7403,                 1.2363,                0.77758,                0.71281,                0.74501,                0.60514,                0.84166,                0.55439,                 1.2163,              0.0074507,              0.0074507,              0.0074507
                    209,                0.85173,                0.75424,                 1.2375,                 0.7779,                0.71253,                0.74492,                0.60477,                 0.8417,                0.55401,                 1.2163,              0.0074384,              0.0074384,              0.0074384
                    210,                0.86579,                0.75346,                 1.2466,                0.77849,                0.71251,                0.74482,                0.60508,                0.84174,                0.55386,                 1.2162,               0.007426,               0.007426,               0.007426
                    211,                0.84638,                 0.7367,                 1.2373,                0.77679,                0.71041,                0.74502,                 0.6051,                0.84196,                0.55359,                 1.2162,              0.0074136,              0.0074136,              0.0074136
                    212,                0.86073,                0.75372,                 1.2475,                0.77649,                0.71044,                0.74541,                0.60529,                0.84195,                0.55358,                  1.216,              0.0074013,              0.0074013,              0.0074013
                    213,                0.84383,                0.74259,                 1.2324,                0.77585,                0.71053,                0.74532,                0.60518,                 0.8419,                 0.5533,                 1.2159,              0.0073889,              0.0073889,              0.0073889
                    214,                0.84827,                0.73946,                 1.2322,                0.77681,                0.71076,                0.74512,                0.60496,                0.84192,                 0.5533,                 1.2158,              0.0073765,              0.0073765,              0.0073765
                    215,                0.84953,                 0.7443,                 1.2332,                0.77798,                0.71073,                0.74526,                0.60539,                0.84202,                 0.5533,                 1.2158,              0.0073641,              0.0073641,              0.0073641
                    216,                0.85789,                0.73724,                 1.2461,                0.77899,                0.71052,                0.74508,                 0.6051,                0.84213,                0.55315,                 1.2157,              0.0073517,              0.0073517,              0.0073517
                    217,                0.83674,                0.73602,                 1.2277,                0.77668,                0.70926,                0.74491,                0.60565,                 0.8421,                0.55275,                 1.2155,              0.0073394,              0.0073394,              0.0073394
                    218,                0.84842,                0.73815,                  1.234,                0.77729,                0.70913,                  0.745,                0.60572,                0.84224,                0.55233,                 1.2155,               0.007327,               0.007327,               0.007327
                    219,                0.84392,                0.73595,                 1.2301,                0.77609,                0.70936,                0.74477,                0.60514,                0.84231,                 0.5523,                 1.2152,              0.0073146,              0.0073146,              0.0073146
                    220,                0.84019,                0.73532,                 1.2294,                 0.7765,                0.71012,                0.74492,                0.60574,                0.84244,                0.55207,                 1.2151,              0.0073023,              0.0073023,              0.0073023
                    221,                0.83909,                  0.727,                   1.23,                0.77758,                0.71113,                0.74491,                0.60562,                0.84247,                0.55157,                  1.215,              0.0072899,              0.0072899,              0.0072899
                    222,                0.84595,                0.73717,                 1.2276,                 0.7795,                0.71334,                0.74678,                0.60581,                 0.8425,                0.55155,                 1.2147,              0.0072775,              0.0072775,              0.0072775
                    223,                0.85071,                0.73571,                 1.2354,                0.77854,                0.71234,                0.74469,                0.60585,                0.84231,                 0.5514,                 1.2145,              0.0072651,              0.0072651,              0.0072651
                    224,                0.84159,                0.72656,                 1.2289,                0.77856,                0.71202,                0.74404,                0.60599,                0.84236,                0.55129,                 1.2143,              0.0072527,              0.0072527,              0.0072527
                    225,                0.83818,                0.71955,                 1.2199,                0.77891,                0.71212,                0.74439,                0.60631,                 0.8424,                0.55109,                 1.2142,              0.0072404,              0.0072404,              0.0072404
                    226,                0.84199,                0.72628,                 1.2278,                0.77896,                0.71185,                0.74458,                0.60573,                0.84234,                0.55099,                 1.2142,               0.007228,               0.007228,               0.007228
                    227,                 0.8338,                0.72149,                 1.2219,                0.77851,                0.71283,                0.74453,                0.60576,                0.84239,                0.55107,                 1.2142,              0.0072156,              0.0072156,              0.0072156
                    228,                 0.8432,                0.74031,                 1.2293,                0.77854,                0.71325,                0.74534,                0.60629,                 0.8421,                0.55088,                 1.2139,              0.0072033,              0.0072033,              0.0072033
                    229,                0.84769,                0.72783,                 1.2341,                0.78065,                0.71458,                0.74764,                0.60746,                0.84204,                0.55091,                 1.2138,              0.0071909,              0.0071909,              0.0071909
                    230,                0.83323,                0.73198,                 1.2216,                0.78059,                0.71515,                0.74718,                0.60742,                0.84158,                0.55041,                 1.2136,              0.0071785,              0.0071785,              0.0071785
                    231,                0.83535,                0.72664,                 1.2204,                0.77924,                0.71483,                0.74732,                0.60736,                0.84165,                0.55004,                 1.2133,              0.0071661,              0.0071661,              0.0071661
                    232,                0.83793,                0.72907,                 1.2215,                0.77602,                0.71221,                 0.7462,                0.60735,                0.84141,                0.54939,                  1.213,              0.0071538,              0.0071538,              0.0071538
                    233,                 0.8473,                0.73762,                 1.2341,                0.77997,                0.71504,                0.74817,                0.60776,                0.84118,                0.54902,                 1.2128,              0.0071414,              0.0071414,              0.0071414
                    234,                0.84099,                 0.7213,                 1.2255,                0.77872,                0.71293,                0.74562,                 0.6078,                 0.8406,                0.54862,                 1.2124,               0.007129,               0.007129,               0.007129
                    235,                 0.8394,                0.72038,                 1.2288,                0.78069,                0.71485,                0.74835,                0.60791,                0.84031,                0.54828,                 1.2121,              0.0071166,              0.0071166,              0.0071166
                    236,                0.83322,                0.72263,                 1.2242,                0.78158,                0.71499,                0.74831,                0.60797,                0.83994,                0.54767,                 1.2118,              0.0071042,              0.0071042,              0.0071042
                    237,                0.83308,                0.71901,                 1.2198,                0.77852,                0.71659,                0.74831,                0.60823,                0.83971,                0.54835,                 1.2115,              0.0070919,              0.0070919,              0.0070919
                    238,                0.84564,                0.73434,                 1.2307,                0.77888,                0.71207,                0.74605,                0.60827,                0.83968,                 0.5481,                 1.2114,              0.0070795,              0.0070795,              0.0070795
                    239,                0.82611,                0.71028,                 1.2169,                0.78088,                0.71337,                0.74819,                0.60819,                 0.8396,                0.54778,                 1.2113,              0.0070671,              0.0070671,              0.0070671
                    240,                0.83337,                0.72735,                 1.2224,                0.77947,                0.71198,                0.74605,                0.60819,                0.83968,                0.54763,                 1.2113,              0.0070547,              0.0070547,              0.0070547
                    241,                0.83613,                0.72331,                 1.2236,                0.77962,                0.71185,                0.74619,                0.60806,                0.83945,                0.54745,                 1.2111,              0.0070424,              0.0070424,              0.0070424
                    242,                0.83519,                0.73108,                 1.2236,                0.77921,                 0.7125,                0.74625,                0.60837,                0.83935,                0.54721,                 1.2108,                0.00703,                0.00703,                0.00703
                    243,                0.83947,                0.71793,                 1.2229,                 0.7776,                0.71261,                0.74628,                0.60871,                0.83945,                0.54697,                 1.2109,              0.0070176,              0.0070176,              0.0070176
                    244,                0.83188,                0.72329,                 1.2257,                0.77884,                0.71464,                0.74652,                0.60905,                0.83925,                0.54631,                 1.2108,              0.0070053,              0.0070053,              0.0070053
                    245,                0.82636,                0.72156,                 1.2167,                0.77457,                0.71388,                  0.746,                0.60817,                 0.8393,                0.54576,                 1.2107,              0.0069929,              0.0069929,              0.0069929
                    246,                0.82287,                0.71305,                 1.2123,                0.77671,                0.71161,                0.74615,                0.60844,                0.83928,                0.54572,                 1.2107,              0.0069805,              0.0069805,              0.0069805
                    247,                0.83725,                0.71014,                 1.2186,                0.77686,                0.71152,                0.74617,                0.60844,                0.83919,                0.54535,                 1.2107,              0.0069681,              0.0069681,              0.0069681
                    248,                0.82379,                0.70982,                 1.2162,                0.78449,                0.71126,                0.74862,                0.60865,                0.83914,                0.54514,                 1.2106,              0.0069558,              0.0069558,              0.0069558
                    249,                 0.8268,                0.71875,                 1.2184,                 0.7829,                0.70969,                0.74632,                0.60836,                0.83904,                0.54508,                 1.2104,              0.0069434,              0.0069434,              0.0069434
                    250,                0.82128,                0.69887,                 1.2109,                0.78279,                0.70971,                0.74628,                0.60853,                0.83901,                0.54457,                 1.2101,               0.006931,               0.006931,               0.006931
                    251,                0.83062,                0.72138,                 1.2187,                0.78491,                0.71152,                0.74798,                  0.609,                 0.8391,                0.54406,                 1.2101,              0.0069186,              0.0069186,              0.0069186
                    252,                0.82702,                0.70848,                 1.2129,                0.78355,                0.70971,                 0.7458,                 0.6087,                0.83891,                0.54383,                 1.2098,              0.0069063,              0.0069063,              0.0069063
                    253,                0.82542,                0.71675,                 1.2178,                0.78603,                 0.7113,                0.74808,                0.60854,                0.83925,                0.54365,                 1.2097,              0.0068939,              0.0068939,              0.0068939
                    254,                0.81298,                0.70771,                 1.2103,                0.78472,                0.70927,                 0.7457,                0.60831,                0.83919,                 0.5435,                 1.2094,              0.0068815,              0.0068815,              0.0068815
                    255,                0.82669,                0.69952,                 1.2153,                0.78579,                0.70838,                0.74578,                0.60876,                 0.8392,                0.54335,                 1.2094,              0.0068691,              0.0068691,              0.0068691
                    256,                0.81662,                0.70666,                 1.2093,                0.78694,                0.70792,                0.74594,                0.60885,                0.83943,                0.54283,                 1.2094,              0.0068568,              0.0068568,              0.0068568
                    257,                0.81339,                0.70628,                 1.2073,                0.78965,                0.70977,                0.74849,                0.60897,                0.83922,                0.54269,                 1.2091,              0.0068444,              0.0068444,              0.0068444
                    258,                0.81559,                0.69788,                  1.204,                0.78964,                0.70979,                0.74866,                0.60953,                 0.8395,                0.54256,                 1.2092,               0.006832,               0.006832,               0.006832
                    259,                0.82728,                0.71037,                 1.2157,                0.78846,                0.71058,                 0.7486,                0.60978,                0.83945,                0.54238,                 1.2091,              0.0068196,              0.0068196,              0.0068196
                    260,                 0.8224,                0.68637,                 1.2088,                0.78812,                0.70787,                0.74637,                0.60952,                0.83912,                0.54209,                 1.2087,              0.0068073,              0.0068073,              0.0068073
                    261,                0.81724,                0.69484,                 1.2097,                0.78723,                  0.707,                0.74631,                0.60937,                0.83905,                0.54219,                 1.2086,              0.0067949,              0.0067949,              0.0067949
                    262,                0.81792,                0.70138,                 1.2102,                0.78831,                0.70747,                 0.7463,                0.60887,                0.83876,                0.54198,                 1.2084,              0.0067825,              0.0067825,              0.0067825
                    263,                0.81504,                0.69287,                 1.2141,                0.78817,                0.70739,                0.74651,                0.60947,                0.83883,                0.54178,                 1.2084,              0.0067701,              0.0067701,              0.0067701
                    264,                0.80306,                0.69064,                 1.2014,                0.78825,                  0.707,                0.74665,                0.60937,                0.83841,                0.54172,                 1.2083,              0.0067577,              0.0067577,              0.0067577
                    265,                0.80845,                0.68885,                 1.2056,                0.78697,                 0.7066,                0.74681,                0.60995,                0.83822,                0.54146,                 1.2081,              0.0067454,              0.0067454,              0.0067454
                    266,                0.82993,                0.70125,                 1.2135,                0.78678,                0.70663,                0.74689,                0.60988,                 0.8384,                0.54068,                 1.2084,               0.006733,               0.006733,               0.006733
                    267,                0.82615,                0.70764,                 1.2132,                0.78695,                 0.7062,                0.74689,                0.61017,                0.83812,                0.54094,                 1.2082,              0.0067206,              0.0067206,              0.0067206
                    268,                0.81533,                0.69376,                  1.206,                0.78685,                0.70562,                0.74699,                0.61057,                0.83817,                0.54099,                 1.2081,              0.0067082,              0.0067082,              0.0067082
                    269,                0.82349,                0.70411,                 1.2129,                0.78704,                0.70519,                0.74716,                0.61067,                0.83809,                0.54062,                 1.2081,              0.0066959,              0.0066959,              0.0066959
                    270,                0.81161,                  0.691,                 1.2068,                0.78673,                0.70548,                0.74703,                0.61042,                0.83777,                0.54066,                 1.2078,              0.0066835,              0.0066835,              0.0066835
                    271,                0.82466,                 0.7004,                 1.2107,                0.78699,                0.70534,                0.74719,                0.61072,                0.83777,                0.54022,                 1.2078,              0.0066711,              0.0066711,              0.0066711
                    272,                0.81559,                0.69039,                 1.2037,                0.78695,                0.70542,                0.74666,                0.61053,                0.83778,                 0.5404,                 1.2078,              0.0066587,              0.0066587,              0.0066587
                    273,                 0.8211,                0.69529,                 1.2045,                0.78724,                 0.7058,                 0.7472,                0.61097,                 0.8374,                0.53995,                 1.2075,              0.0066464,              0.0066464,              0.0066464
                    274,                0.82135,                 0.6931,                 1.2102,                0.78732,                0.70585,                0.74692,                0.61115,                0.83747,                0.53967,                 1.2074,               0.006634,               0.006634,               0.006634
                    275,                0.82276,                0.69266,                 1.2119,                0.78736,                0.70608,                0.74697,                0.61078,                0.83715,                0.53981,                  1.207,              0.0066216,              0.0066216,              0.0066216
                    276,                0.81001,                 0.6858,                 1.2038,                0.78763,                0.70572,                0.74694,                0.61051,                0.83706,                0.53988,                 1.2068,              0.0066092,              0.0066092,              0.0066092
                    277,                0.81504,                0.69315,                 1.2075,                0.78816,                0.70591,                0.74698,                0.61097,                0.83697,                0.54003,                 1.2067,              0.0065969,              0.0065969,              0.0065969
